Area,Date,Area type,Region,Commodity category,Amount (USD),Amount 12 month rolling sum (USD)
Afghanistan,12/1/2018,Country or economy,Asia,Solar PV,1535602,
Afghanistan,12/1/2018,Country or economy,Asia,Wind,0,
Afghanistan,1/1/2019,Country or economy,Asia,All technologies,2234654,30095602
Afghanistan,1/1/2019,Country or economy,Asia,Batteries,249784,2574217
Afghanistan,1/1/2019,Country or economy,Asia,EVs,0,105590
Afghanistan,1/1/2019,Country or economy,Asia,Grid,67383,580777
Afghanistan,1/1/2019,Country or economy,Asia,Heating and cooling systems,87148,3696571
Afghanistan,1/1/2019,Country or economy,Asia,Solar PV,1830339,23138447
Afghanistan,1/1/2019,Country or economy,Asia,Wind,0,0
Afghanistan,2/1/2019,Country or economy,Asia,All technologies,1222944,29777020
Afghanistan,2/1/2019,Country or economy,Asia,Batteries,225024,2591541
Afghanistan,2/1/2019,Country or economy,Asia,EVs,85,18650
Afghanistan,2/1/2019,Country or economy,Asia,Grid,82360,635289
Afghanistan,2/1/2019,Country or economy,Asia,Heating and cooling systems,164815,3754686
Afghanistan,2/1/2019,Country or economy,Asia,Solar PV,750660,22776854
Afghanistan,2/1/2019,Country or economy,Asia,Wind,0,0
Afghanistan,3/1/2019,Country or economy,Asia,All technologies,2894562,29978055
Afghanistan,3/1/2019,Country or economy,Asia,Batteries,75479,2341223
Afghanistan,3/1/2019,Country or economy,Asia,EVs,0,18650
Afghanistan,3/1/2019,Country or economy,Asia,Grid,30400,592863
Afghanistan,3/1/2019,Country or economy,Asia,Heating and cooling systems,371652,3853630
Afghanistan,3/1/2019,Country or economy,Asia,Solar PV,2417031,23171689
Afghanistan,3/1/2019,Country or economy,Asia,Wind,0,0
Afghanistan,4/1/2019,Country or economy,Asia,All technologies,850438,25971553
Afghanistan,4/1/2019,Country or economy,Asia,Batteries,21654,2328674
Afghanistan,4/1/2019,Country or economy,Asia,EVs,0,18650
Afghanistan,4/1/2019,Country or economy,Asia,Grid,18977,591369
Afghanistan,4/1/2019,Country or economy,Asia,Heating and cooling systems,75921,3451784
Afghanistan,4/1/2019,Country or economy,Asia,Solar PV,733886,19581076
Afghanistan,4/1/2019,Country or economy,Asia,Wind,0,0
Afghanistan,5/1/2019,Country or economy,Asia,All technologies,1163774,22176015
Afghanistan,5/1/2019,Country or economy,Asia,Batteries,297464,2499286
Afghanistan,5/1/2019,Country or economy,Asia,EVs,0,17150
Afghanistan,5/1/2019,Country or economy,Asia,Grid,314843,893317
Afghanistan,5/1/2019,Country or economy,Asia,Heating and cooling systems,374440,3289488
Afghanistan,5/1/2019,Country or economy,Asia,Solar PV,177027,15476774
Afghanistan,5/1/2019,Country or economy,Asia,Wind,0,0
Afghanistan,6/1/2019,Country or economy,Asia,All technologies,1999600,21757626
Afghanistan,6/1/2019,Country or economy,Asia,Batteries,178332,2494834
Afghanistan,6/1/2019,Country or economy,Asia,EVs,0,2630
Afghanistan,6/1/2019,Country or economy,Asia,Grid,15207,885449
Afghanistan,6/1/2019,Country or economy,Asia,Heating and cooling systems,280638,3124382
Afghanistan,6/1/2019,Country or economy,Asia,Solar PV,1525423,15250331
Afghanistan,6/1/2019,Country or economy,Asia,Wind,0,0
Afghanistan,7/1/2019,Country or economy,Asia,All technologies,1230597,21612429
Afghanistan,7/1/2019,Country or economy,Asia,Batteries,141666,2617462
